Cruise,Station,StationID,Latitude,Longitude,FishNum,Time,Station_Depth,Region,FL_mm,Species,Centropages_spp,Calanus_spp,PPC,Temora_longicornis,Calanoida,Candacia_spp,Caligus_spp,Hyperiidea,Phronimidae,Hyperia_spp,Parathemisto_spp,Pronoidae,Lycaenidae,Mysidae,Mysis mixta,Mysis bigelowi,Neomysis spp.,Oikopleura spp.,Limacina helicina,Clione limacina,Euphausiacea,Euphausia spp.,Meganyctiphanes norvegica,Thysanopoda spp.,Thysanoessa spp.,Nematoscelis spp.,Gammarus spp.,Ampithoidae,Gammaria spp.,Haustoriidae,Corophiidae,Liljeborgiidae,Meltidae,Aoridae,Chaetognatha,Ostracoda,Crustacean_Larvae,Cladocera,Ammodytes spp.,Larval_Fish,Fish_Remains,Polychaeta,Cumacea,Isopoda,Other,Unknown,EST_YEAR,EST_MONTH,EST_DAY,SURFTEMP,BOTTEMP
201402,179,201402-179,41.13333333,-69.23333333,409,08:46,34,GoM,113,C. harengus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
201402,179,201402-179,41.13333333,-69.23333333,411,08:46,34,GoM,115,C. harengus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
201402,179,201402-179,41.13333333,-69.55,360,18:44,37,SNE,89,S. scombrus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
201402,179,201402-179,41.13333333,-68.3,362,19:40,30,GoM,218,S. scombrus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,69,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
201402,183,201402-183,41.61666667,-69.00333333,343,21:56,172,GoM,174,A. aestivalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
201402,183,201402-183,41.61666667,-69.00333333,345,21:56,172,GoM,212,A. aestivalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
201402,184,201402-184,41.73333333,-69.38333333,171,19:07,164,GoM,175,A. aestivalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
201402,184,201402-184,41.73333333,-69.38333333,172,19:07,164,GoM,190,A. aestivalis,0,4740,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,24,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA
201402,184,201402-184,41.73333333,-69.38333333,179,01:34,42,GoM,180,A. pseudoharengus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
201402,184,201402-184,41.73333333,-69.38333333,180,01:34,42,GoM,181,A. pseudoharengus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
201402,185,201402-185,41.51666667,-69.55,185,22:17,105,GB,166,A. pseudoharengus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
201402,185,201402-185,41.51666667,-69.55,186,22:17,105,GB,168,A. pseudoharengus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
201402,214,201402-214,40.45,-68.3,246,18:44,37,SNE,87,P. triacanthus,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
201402,214,201402-214,40.45,-68.3,247,18:44,37,SNE,82,P. triacanthus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
201402,258,201402-258,42.55,-66.46666667,250,12:21,211,GoM,280,A. pseudoharengus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
